date,city,oil_company,fuel_type,retail_price_inr_per_litre,source
2018-01-01,Bengaluru,HP,Diesel,63.47,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-01,Bengaluru,HP,Petrol,73.29,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-01,Bengaluru,IndianOil,Diesel,63.28,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-01,Bengaluru,IndianOil,Petrol,73.05,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-02,Bengaluru,HP,Diesel,63.61,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-02,Bengaluru,HP,Petrol,73.2,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-02,Bengaluru,IndianOil,Diesel,63.5,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-02,Bengaluru,IndianOil,Petrol,73.0,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-03,Bengaluru,HP,Diesel,63.61,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-03,Bengaluru,HP,Petrol,73.24,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-03,Bengaluru,IndianOil,Diesel,63.54,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-03,Bengaluru,IndianOil,Petrol,73.04,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-04,Bengaluru,HP,Diesel,63.73,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-04,Bengaluru,HP,Petrol,73.16,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-04,Bengaluru,IndianOil,Diesel,63.51,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-04,Bengaluru,IndianOil,Petrol,72.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-05,Bengaluru,HP,Diesel,63.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-05,Bengaluru,HP,Petrol,73.22,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-05,Bengaluru,IndianOil,Diesel,63.77,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-05,Bengaluru,IndianOil,Petrol,73.01,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-06,Bengaluru,HP,Diesel,64.0,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-06,Bengaluru,HP,Petrol,73.34,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-06,Bengaluru,IndianOil,Diesel,63.73,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-06,Bengaluru,IndianOil,Petrol,73.14,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-07,Bengaluru,HP,Diesel,63.92,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-07,Bengaluru,HP,Petrol,73.3,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-07,Bengaluru,IndianOil,Diesel,63.76,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-07,Bengaluru,IndianOil,Petrol,73.13,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-08,Bengaluru,HP,Diesel,63.89,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-08,Bengaluru,HP,Petrol,73.33,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-08,Bengaluru,IndianOil,Diesel,63.68,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-08,Bengaluru,IndianOil,Petrol,73.15,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-09,Bengaluru,HP,Diesel,64.23,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-09,Bengaluru,HP,Petrol,73.37,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-09,Bengaluru,IndianOil,Diesel,63.99,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-09,Bengaluru,IndianOil,Petrol,73.19,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-10,Bengaluru,HP,Diesel,63.97,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-10,Bengaluru,HP,Petrol,73.28,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-10,Bengaluru,IndianOil,Diesel,63.75,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-10,Bengaluru,IndianOil,Petrol,73.09,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-11,Bengaluru,HP,Diesel,63.75,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-11,Bengaluru,HP,Petrol,73.25,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-11,Bengaluru,IndianOil,Diesel,63.58,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-11,Bengaluru,IndianOil,Petrol,73.09,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-12,Bengaluru,HP,Diesel,63.67,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-12,Bengaluru,HP,Petrol,73.19,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-12,Bengaluru,IndianOil,Diesel,63.47,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-12,Bengaluru,IndianOil,Petrol,73.01,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-13,Bengaluru,HP,Diesel,63.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-13,Bengaluru,HP,Petrol,73.11,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-13,Bengaluru,IndianOil,Diesel,63.77,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-13,Bengaluru,IndianOil,Petrol,72.91,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-14,Bengaluru,HP,Diesel,63.57,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-14,Bengaluru,HP,Petrol,73.15,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-14,Bengaluru,IndianOil,Diesel,63.5,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-14,Bengaluru,IndianOil,Petrol,73.02,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-15,Bengaluru,HP,Diesel,63.65,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-15,Bengaluru,HP,Petrol,73.05,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-15,Bengaluru,IndianOil,Diesel,63.45,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-15,Bengaluru,IndianOil,Petrol,72.98,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-16,Bengaluru,HP,Diesel,63.57,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-16,Bengaluru,HP,Petrol,73.05,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-16,Bengaluru,IndianOil,Diesel,63.38,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-16,Bengaluru,IndianOil,Petrol,72.88,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-17,Bengaluru,HP,Diesel,63.48,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-17,Bengaluru,HP,Petrol,73.06,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-17,Bengaluru,IndianOil,Diesel,63.27,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-17,Bengaluru,IndianOil,Petrol,72.91,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-18,Bengaluru,HP,Diesel,63.35,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-18,Bengaluru,HP,Petrol,73.09,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-18,Bengaluru,IndianOil,Diesel,63.16,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-18,Bengaluru,IndianOil,Petrol,72.88,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-19,Bengaluru,HP,Diesel,63.46,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-19,Bengaluru,HP,Petrol,73.18,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-19,Bengaluru,IndianOil,Diesel,63.32,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-19,Bengaluru,IndianOil,Petrol,72.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-20,Bengaluru,HP,Diesel,63.74,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-20,Bengaluru,HP,Petrol,73.17,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-20,Bengaluru,IndianOil,Diesel,63.54,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-20,Bengaluru,IndianOil,Petrol,72.96,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-21,Bengaluru,HP,Diesel,63.49,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-21,Bengaluru,HP,Petrol,73.24,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-21,Bengaluru,IndianOil,Diesel,63.34,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-21,Bengaluru,IndianOil,Petrol,73.08,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-22,Bengaluru,HP,Diesel,63.57,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-22,Bengaluru,HP,Petrol,73.18,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-22,Bengaluru,IndianOil,Diesel,63.39,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-22,Bengaluru,IndianOil,Petrol,72.99,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-23,Bengaluru,HP,Diesel,63.65,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-23,Bengaluru,HP,Petrol,73.09,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-23,Bengaluru,IndianOil,Diesel,63.5,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-23,Bengaluru,IndianOil,Petrol,72.88,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-24,Bengaluru,HP,Diesel,63.27,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-24,Bengaluru,HP,Petrol,73.16,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-24,Bengaluru,IndianOil,Diesel,63.09,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-24,Bengaluru,IndianOil,Petrol,72.95,PPAC open data portal (Petroleum Planning & Analysis Cell)
2018-01-25,Bengaluru,HP,Diesel,63.63,PPAC open data portal (Petroleum Planning & Analysis Cell)
