date,station,rainfall_mm,temp_max_c,temp_min_c,humidity_pct
2018-01-01,Bengaluru City (IMD 43295),0.0,24.7,13.7,51.0
2018-01-02,Bengaluru City (IMD 43295),0.0,24.9,14.6,56.0
2018-01-03,Bengaluru City (IMD 43295),0.0,24.9,14.8,52.0
2018-01-04,Bengaluru City (IMD 43295),0.0,25.2,14.6,47.0
2018-01-05,Bengaluru City (IMD 43295),0.0,23.6,13.0,50.0
2018-01-06,Bengaluru City (IMD 43295),0.0,23.2,12.7,53.0
2018-01-07,Bengaluru City (IMD 43295),0.0,23.4,13.9,47.0
2018-01-08,Bengaluru City (IMD 43295),0.0,25.0,14.8,57.0
2018-01-09,Bengaluru City (IMD 43295),0.0,24.6,12.1,54.0
2018-01-10,Bengaluru City (IMD 43295),0.0,22.9,12.3,49.0
2018-01-11,Bengaluru City (IMD 43295),0.0,23.5,12.0,
2018-01-12,Bengaluru City (IMD 43295),0.0,25.7,15.1,56.0
2018-01-13,Bengaluru City (IMD 43295),0.0,24.0,13.2,48.0
2018-01-14,Bengaluru City (IMD 43295),0.0,26.5,16.0,54.0
2018-01-15,Bengaluru City (IMD 43295),7.8,24.6,13.2,58.0
2018-01-16,Bengaluru City (IMD 43295),0.0,24.7,14.1,60.0
2018-01-17,Bengaluru City (IMD 43295),0.0,25.8,14.0,55.0
2018-01-18,Bengaluru City (IMD 43295),0.0,26.2,15.0,54.0
2018-01-19,Bengaluru City (IMD 43295),0.0,24.4,12.6,45.0
2018-01-20,Bengaluru City (IMD 43295),0.0,25.7,14.6,51.0
2018-01-21,Bengaluru City (IMD 43295),0.0,25.6,15.1,46.0
2018-01-22,Bengaluru City (IMD 43295),0.0,24.4,14.7,50.0
2018-01-23,Bengaluru City (IMD 43295),0.0,25.6,14.4,53.0
2018-01-24,Bengaluru City (IMD 43295),0.0,23.2,12.8,47.0
2018-01-25,Bengaluru City (IMD 43295),0.0,25.2,14.4,55.0
2018-01-26,Bengaluru City (IMD 43295),0.0,22.3,10.4,49.0
2018-01-27,Bengaluru City (IMD 43295),0.0,23.9,12.7,55.0
2018-01-28,Bengaluru City (IMD 43295),0.0,25.9,14.1,55.0
2018-01-29,Bengaluru City (IMD 43295),0.0,25.8,13.5,49.0
2018-01-30,Bengaluru City (IMD 43295),0.0,25.1,14.4,54.0
2018-01-31,Bengaluru City (IMD 43295),0.0,25.0,15.0,53.0
2018-02-01,Bengaluru City (IMD 43295),0.0,25.2,15.0,48.0
2018-02-02,Bengaluru City (IMD 43295),0.0,24.9,14.1,49.0
2018-02-03,Bengaluru City (IMD 43295),0.0,26.9,15.8,48.0
2018-02-04,Bengaluru City (IMD 43295),0.0,25.9,14.3,48.0
2018-02-05,Bengaluru City (IMD 43295),0.0,27.4,16.3,56.0
2018-02-06,Bengaluru City (IMD 43295),0.0,25.1,14.8,48.0
2018-02-07,Bengaluru City (IMD 43295),0.0,24.6,13.8,49.0
2018-02-08,Bengaluru City (IMD 43295),0.0,27.0,16.8,53.0
2018-02-09,Bengaluru City (IMD 43295),0.0,25.8,14.8,50.0
2018-02-10,Bengaluru City (IMD 43295),0.0,27.1,17.2,58.0
2018-02-11,Bengaluru City (IMD 43295),0.0,27.1,15.4,55.0
2018-02-12,Bengaluru City (IMD 43295),5.1,27.1,16.7,61.0
2018-02-13,Bengaluru City (IMD 43295),0.0,25.7,14.0,54.0
2018-02-14,Bengaluru City (IMD 43295),0.0,27.0,16.9,50.0
2018-02-15,Bengaluru City (IMD 43295),0.0,25.4,15.4,52.0
2018-02-16,Bengaluru City (IMD 43295),0.0,27.3,16.0,47.0
2018-02-17,Bengaluru City (IMD 43295),0.0,26.6,14.3,50.0
2018-02-18,Bengaluru City (IMD 43295),0.0,27.7,17.3,51.0
2018-02-19,Bengaluru City (IMD 43295),0.0,29.4,18.7,59.0
2018-02-20,Bengaluru City (IMD 43295),0.0,29.1,17.8,55.0
2018-02-21,Bengaluru City (IMD 43295),0.0,26.3,15.9,54.0
2018-02-22,Bengaluru City (IMD 43295),0.0,28.1,16.9,51.0
2018-02-23,Bengaluru City (IMD 43295),0.0,28.4,16.4,55.0
2018-02-24,Bengaluru City (IMD 43295),0.0,28.4,17.7,45.0
2018-02-25,Bengaluru City (IMD 43295),0.0,27.0,15.8,52.0
2018-02-26,Bengaluru City (IMD 43295),0.0,27.7,17.4,51.0
2018-02-27,Bengaluru City (IMD 43295),0.0,28.8,16.9,48.0
2018-02-28,Bengaluru City (IMD 43295),0.0,27.2,17.5,54.0
2018-03-01,Bengaluru City (IMD 43295),0.0,26.4,16.6,59.0
2018-03-02,Bengaluru City (IMD 43295),0.0,27.5,17.5,59.0
2018-03-03,Bengaluru City (IMD 43295),0.0,28.0,16.8,63.0
2018-03-04,Bengaluru City (IMD 43295),0.0,29.0,18.6,52.0
2018-03-05,Bengaluru City (IMD 43295),0.0,29.5,18.6,47.0
2018-03-06,Bengaluru City (IMD 43295),0.0,27.9,16.7,52.0
2018-03-07,Bengaluru City (IMD 43295),0.0,29.0,18.9,50.0
2018-03-08,Bengaluru City (IMD 43295),0.0,29.2,20.1,47.0
2018-03-09,Bengaluru City (IMD 43295),0.0,28.0,17.8,43.0
2018-03-10,Bengaluru City (IMD 43295),0.0,28.7,20.2,55.0
2018-03-11,Bengaluru City (IMD 43295),0.0,29.3,19.8,53.0
2018-03-12,Bengaluru City (IMD 43295),0.0,27.8,18.0,51.0
2018-03-13,Bengaluru City (IMD 43295),0.0,29.7,19.7,55.0
2018-03-14,Bengaluru City (IMD 43295),0.0,28.4,17.3,56.0
2018-03-15,Bengaluru City (IMD 43295),0.0,26.8,16.0,56.0
2018-03-16,Bengaluru City (IMD 43295),0.0,27.6,17.5,54.0
2018-03-17,Bengaluru City (IMD 43295),0.0,30.3,19.8,47.0
2018-03-18,Bengaluru City (IMD 43295),0.0,28.5,18.0,55.0
2018-03-19,Bengaluru City (IMD 43295),30.5,29.1,18.3,65.0
2018-03-20,Bengaluru City (IMD 43295),0.0,28.7,18.9,51.0
2018-03-21,Bengaluru City (IMD 43295),0.0,28.4,18.5,59.0
2018-03-22,Bengaluru City (IMD 43295),0.0,29.6,20.1,54.0
2018-03-23,Bengaluru City (IMD 43295),0.0,28.1,18.0,46.0
2018-03-24,Bengaluru City (IMD 43295),0.0,29.8,20.0,42.0
2018-03-25,Bengaluru City (IMD 43295),0.0,28.1,17.9,58.0
2018-03-26,Bengaluru City (IMD 43295),0.0,29.9,18.2,54.0
